"trainer/global_step","for-instance - _step","for-instance - _step__MIN","for-instance - _step__MAX","for-instance - val/total/instance_detection_f1_score","for-instance - val/total/instance_detection_f1_score__MIN","for-instance - val/total/instance_detection_f1_score__MAX"
"13","38","38","38","0","0","0"
"27","77","77","77","0","0","0"
"41","116","116","116","0.1145833358168602","0.1145833358168602","0.1145833358168602"
"55","155","155","155","0.10795454680919647","0.10795454680919647","0.10795454680919647"
"69","194","194","194","0.09189189225435257","0.09189189225435257","0.09189189225435257"
"83","233","233","233","0.10052909702062607","0.10052909702062607","0.10052909702062607"
"97","272","272","272","0.1387283205986023","0.1387283205986023","0.1387283205986023"
"111","311","311","311","0.07580175250768661","0.07580175250768661","0.07580175250768661"
"125","350","350","350","0.12034384161233902","0.12034384161233902","0.12034384161233902"
"139","389","389","389","0.1166180744767189","0.1166180744767189","0.1166180744767189"
"153","428","428","428","0.11527377367019653","0.11527377367019653","0.11527377367019653"
"167","467","467","467","0.09600000083446503","0.09600000083446503","0.09600000083446503"
"181","506","506","506","0.10169491171836853","0.10169491171836853","0.10169491171836853"
"195","545","545","545","0.14035087823867798","0.14035087823867798","0.14035087823867798"
"209","584","584","584","0.1542857140302658","0.1542857140302658","0.1542857140302658"
"223","623","623","623","0.1428571492433548","0.1428571492433548","0.1428571492433548"
"237","662","662","662","0.05187319964170456","0.05187319964170456","0.05187319964170456"
"251","701","701","701","0.20930232107639313","0.20930232107639313","0.20930232107639313"
"265","740","740","740","0.1425178200006485","0.1425178200006485","0.1425178200006485"
"279","779","779","779","0.19354838132858276","0.19354838132858276","0.19354838132858276"
"293","818","818","818","0.20325203239917755","0.20325203239917755","0.20325203239917755"
"307","857","857","857","0.298288494348526","0.298288494348526","0.298288494348526"
"321","896","896","896","0.20796459913253784","0.20796459913253784","0.20796459913253784"
"335","935","935","935","0.22589531540870667","0.22589531540870667","0.22589531540870667"
"349","974","974","974","0.3004694879055023","0.3004694879055023","0.3004694879055023"
"363","1013","1013","1013","0.3080808222293854","0.3080808222293854","0.3080808222293854"
"377","1052","1052","1052","0.3298429250717163","0.3298429250717163","0.3298429250717163"
"391","1091","1091","1091","0.2517814636230469","0.2517814636230469","0.2517814636230469"
"405","1130","1130","1130","0.3086680769920349","0.3086680769920349","0.3086680769920349"
"419","1169","1169","1169","0.30985915660858154","0.30985915660858154","0.30985915660858154"
"433","1208","1208","1208","0.31100478768348694","0.31100478768348694","0.31100478768348694"
"447","1247","1247","1247","0.2973760962486267","0.2973760962486267","0.2973760962486267"
"461","1286","1286","1286","0.356589138507843","0.356589138507843","0.356589138507843"
