"trainer/global_step","for-instance - _step","for-instance - _step__MIN","for-instance - _step__MAX","for-instance - val/total/instance_detection_f1_score","for-instance - val/total/instance_detection_f1_score__MIN","for-instance - val/total/instance_detection_f1_score__MAX"
"1133","3158","3158","3158","0.4265402853488922","0.4265402853488922","0.4265402853488922"
"1147","3197","3197","3197","0.47941887378692627","0.47941887378692627","0.47941887378692627"
"1161","3236","3236","3236","0.4832535982131958","0.4832535982131958","0.4832535982131958"
"1175","3275","3275","3275","0.4748201370239258","0.4748201370239258","0.4748201370239258"
"1189","3314","3314","3314","0.4938875436782837","0.4938875436782837","0.4938875436782837"
"1203","3353","3353","3353","0.4878048896789551","0.4878048896789551","0.4878048896789551"
"1217","3392","3392","3392","0.5012165307998657","0.5012165307998657","0.5012165307998657"
"1231","3431","3431","3431","0.510948896408081","0.510948896408081","0.510948896408081"
"1245","3470","3470","3470","0.49753695726394653","0.49753695726394653","0.49753695726394653"
"1259","3509","3509","3509","0.49394673109054565","0.49394673109054565","0.49394673109054565"
"1273","3548","3548","3548","0.4963855445384979","0.4963855445384979","0.4963855445384979"
"1287","3587","3587","3587","0.5012165307998657","0.5012165307998657","0.5012165307998657"
"1301","3626","3626","3626","0.47941887378692627","0.47941887378692627","0.47941887378692627"
"1315","3665","3665","3665","0.5","0.5","0.5"
"1329","3704","3704","3704","0.4868735074996948","0.4868735074996948","0.4868735074996948"
"1343","3743","3743","3743","0.4761904776096344","0.4761904776096344","0.4761904776096344"
"1357","3782","3782","3782","0.4768856465816498","0.4768856465816498","0.4768856465816498"
"1371","3821","3821","3821","0.4868735074996948","0.4868735074996948","0.4868735074996948"
"1385","3860","3860","3860","0.49275362491607666","0.49275362491607666","0.49275362491607666"
"1399","3899","3899","3899","0.48441246151924133","0.48441246151924133","0.48441246151924133"
